State,Year,Period,labor force,employment,unemployment,unemployment rate
Ohio,2018,Jun,5825104,5533132,291972,5
Ohio,2018,Jul,5830734,5555155,275579,4.7
Ohio,2018,Aug,5762009,5507050,254959,4.4
Ohio,2018,Sep,5730788,5491968,238820,4.2
Ohio,2018,Oct,5774153,5527157,246996,4.3
Ohio,2018,Nov,5754616,5511308,243308,4.2
Ohio,2018,Dec,5739445,5464619,274826,4.8
Ohio,2019,Jan,5758116,5448870,309246,5.4
Ohio,2019,Feb,5788285,5518789,269496,4.7
Ohio,2019,Mar,5809996,5568996,241000,4.1
Ohio,2019,Apr,5794037,5601885,192152,3.3
Ohio,2019,May,5773062,5568828,204234,3.5
Ohio,2019,Jun,5869085,5619907,249178,4.2
Ohio,2019,Jul,5924591,5652153,272438,4.6
Ohio,2019,Aug,5879181,5630934,248247,4.2
Ohio,2019,Sep,5811297,5571021,240276,4.1
Ohio,2019,Oct,5826663,5598726,227937,3.9
Oklahoma,2016,Jan,1826137,1739646,86491,4.7
Oklahoma,2016,Feb,1833717,1744380,89337,4.9
Oklahoma,2016,Mar,1837420,1750058,87362,4.8
Oklahoma,2016,Apr,1827700,1745372,82328,4.5
Oklahoma,2016,May,1828270,1738986,89284,4.9
Oklahoma,2016,Jun,1842814,1745125,97689,5.3
Oklahoma,2016,Jul,1835298,1742112,93186,5.1
Oklahoma,2016,Aug,1826485,1734613,91872,5
Oklahoma,2016,Sep,1830927,1742462,88465,4.8
Oklahoma,2016,Oct,1835397,1748033,87364,4.8
Oklahoma,2016,Nov,1837534,1754911,82623,4.5
Oklahoma,2016,Dec,1822363,1740094,82269,4.5
Oklahoma,2017,Jan,1816103,1728706,87397,4.8
Oklahoma,2017,Feb,1822022,1735794,86228,4.7
Oklahoma,2017,Mar,1829690,1749934,79756,4.4
Oklahoma,2017,Apr,1825572,1752971,72601,4
Oklahoma,2017,May,1829062,1749052,80010,4.4
Oklahoma,2017,Jun,1849768,1764794,84974,4.6
Oklahoma,2017,Jul,1843775,1764692,79083,4.3
Oklahoma,2017,Aug,1834743,1756628,78115,4.3
Oklahoma,2017,Sep,1848083,1774466,73617,4
Oklahoma,2017,Oct,1847508,1775149,72359,3.9
Oklahoma,2017,Nov,1850671,1780613,70058,3.8
Oklahoma,2017,Dec,1838324,1768189,70135,3.8
Oklahoma,2018,Jan,1833934,1758372,75562,4.1
Oklahoma,2018,Feb,1844674,1770675,73999,4
Oklahoma,2018,Mar,1847864,1779668,68196,3.7
Oklahoma,2018,Apr,1839219,1778337,60882,3.3
Oklahoma,2018,May,1843360,1778975,64385,3.5
Oklahoma,2018,Jun,1858945,1789748,69197,3.7
Oklahoma,2018,Jul,1849373,1787941,61432,3.3
Oklahoma,2018,Aug,1828471,1770760,57711,3.2
Oklahoma,2018,Sep,1834606,1780763,53843,2.9
Oklahoma,2018,Oct,1844742,1788400,56342,3.1
Oklahoma,2018,Nov,1845292,1792102,53190,2.9
Oklahoma,2018,Dec,1831981,1776693,55288,3
Oklahoma,2019,Jan,1812217,1743865,68352,3.8
Oklahoma,2019,Feb,1823176,1759147,64029,3.5
Oklahoma,2019,Mar,1824859,1765753,59106,3.2
Oklahoma,2019,Apr,1816608,1766420,50188,2.8
Oklahoma,2019,May,1831522,1774537,56985,3.1
Oklahoma,2019,Jun,1858722,1794813,63909,3.4
Oklahoma,2019,Jul,1867797,1804157,63640,3.4
Oklahoma,2019,Aug,1855215,1793301,61914,3.3
Oklahoma,2019,Sep,1857552,1799581,57971,3.1
Oklahoma,2019,Oct,1856199,1794255,61944,3.3
Oregon,2016,Jan,2000405,1890226,110179,5.5
Oregon,2016,Feb,2018679,1907941,110738,5.5
Oregon,2016,Mar,2029690,1919194,110496,5.4
Oregon,2016,Apr,2032712,1932009,100703,5
Oregon,2016,May,2036398,1943050,93348,4.6
Oregon,2016,Jun,2062657,1957347,105310,5.1
Oregon,2016,Jul,2073976,1967682,106294,5.1
Oregon,2016,Aug,2074295,1973337,100958,4.9
Oregon,2016,Sep,2067231,1978113,89118,4.3
Oregon,2016,Oct,2068213,1980342,87871,4.2
Oregon,2016,Nov,2066889,1982741,84148,4.1
Oregon,2016,Dec,2049098,1967154,81944,4
Oregon,2017,Jan,2046244,1949726,96518,4.7
Oregon,2017,Feb,2063591,1968709,94882,4.6
Oregon,2017,Mar,2073204,1979859,93345,4.5
Oregon,2017,Apr,2080233,1998249,81984,3.9
Oregon,2017,May,2081124,2003845,77279,3.7
Oregon,2017,Jun,2106352,2018025,88327,4.2
Oregon,2017,Jul,2120422,2028315,92107,4.3
Oregon,2017,Aug,2116466,2025560,90906,4.3
Oregon,2017,Sep,2111548,2032710,78838,3.7
Oregon,2017,Oct,2103115,2024582,78533,3.7
Oregon,2017,Nov,2101180,2021589,79591,3.8
Oregon,2017,Dec,2084397,2003792,80605,3.9
Oregon,2018,Jan,2081656,1984282,97374,4.7
Oregon,2018,Feb,2094704,1997550,97154,4.6
Oregon,2018,Mar,2092084,1997568,94516,4.5
Oregon,2018,Apr,2089666,2006665,83001,4
Oregon,2018,May,2090640,2015864,74776,3.6
Oregon,2018,Jun,2112449,2024528,87921,4.2
Oregon,2018,Jul,2125001,2035626,89375,4.2
Oregon,2018,Aug,2115832,2028164,87668,4.1
Oregon,2018,Sep,2112722,2034922,77800,3.7
Oregon,2018,Oct,2117663,2034234,83429,3.9
Oregon,2018,Nov,2117387,2031656,85731,4
Oregon,2018,Dec,2104382,2014797,89585,4.3
Oregon,2019,Jan,2103009,1998836,104173,5
Oregon,2019,Feb,2115245,2016407,98838,4.7
Oregon,2019,Mar,2113625,2016400,97225,4.6
Oregon,2019,Apr,2106615,2023964,82651,3.9
Oregon,2019,May,2105751,2036289,69462,3.3
Oregon,2019,Jun,2118160,2034327,83833,4
Oregon,2019,Jul,2135807,2046153,89654,4.2
Oregon,2019,Aug,2139838,2045304,94534,4.4
Oregon,2019,Sep,2124764,2042144,82620,3.9
Oregon,2019,Oct,2119417,2044941,74476,3.5
Pennsylvania,2016,Jan,6404663,6048568,356095,5.6
Pennsylvania,2016,Feb,6428019,6062493,365526,5.7
Pennsylvania,2016,Mar,6442021,6080785,361236,5.6
Pennsylvania,2016,Apr,6434768,6103197,331571,5.2
Pennsylvania,2016,May,6454547,6120058,334489,5.2
Pennsylvania,2016,Jun,6507248,6137719,369529,5.7
Pennsylvania,2016,Jul,6549594,6163215,386379,5.9
Pennsylvania,2016,Aug,6488884,6111844,377040,5.8
Pennsylvania,2016,Sep,6451024,6111164,339860,5.3
Pennsylvania,2016,Oct,6439790,6108335,331455,5.1
Pennsylvania,2016,Nov,6419562,6113397,306165,4.8
Pennsylvania,2016,Dec,6380510,6075308,305202,4.8
Pennsylvania,2017,Jan,6399593,6037767,361826,5.7
Pennsylvania,2017,Feb,6420156,6058745,361411,5.6
Pennsylvania,2017,Mar,6420390,6088868,331522,5.2
Pennsylvania,2017,Apr,6423614,6131613,292001,4.5
Pennsylvania,2017,May,6430814,6126868,303946,4.7
Pennsylvania,2017,Jun,6480724,6153049,327675,5.1
Pennsylvania,2017,Jul,6515790,6174374,341416,5.2
Pennsylvania,2017,Aug,6450317,6112093,338224,5.2
Pennsylvania,2017,Sep,6423434,6138494,284940,4.4
Pennsylvania,2017,Oct,6385071,6110822,274249,4.3
Pennsylvania,2017,Nov,6392129,6114325,277804,4.3
Pennsylvania,2017,Dec,6353480,6079628,273852,4.3
Pennsylvania,2018,Jan,6351938,6032295,319643,5
Pennsylvania,2018,Feb,6398071,6078166,319905,5
Pennsylvania,2018,Mar,6376939,6088343,288596,4.5
Pennsylvania,2018,Apr,6378250,6125594,252656,4
Pennsylvania,2018,May,6403511,6154712,248799,3.9
Pennsylvania,2018,Jun,6484141,6184900,299241,4.6
Pennsylvania,2018,Jul,6530022,6223945,306077,4.7
Pennsylvania,2018,Aug,6443881,6148402,295479,4.6
Pennsylvania,2018,Sep,6414056,6164812,249244,3.9
Pennsylvania,2018,Oct,6444551,6196535,248016,3.8
Pennsylvania,2018,Nov,6437401,6203624,233777,3.6
Pennsylvania,2018,Dec,6430281,6182288,247993,3.9
Pennsylvania,2019,Jan,6429180,6156080,273100,4.2
Pennsylvania,2019,Feb,6461939,6190973,270966,4.2
Pennsylvania,2019,Mar,6452006,6201071,250935,3.9
Pennsylvania,2019,Apr,6421347,6215423,205924,3.2
Pennsylvania,2019,May,6468559,6225772,242787,3.8
Pennsylvania,2019,Jun,6524148,6261325,262823,4
Pennsylvania,2019,Jul,6576635,6275113,301522,4.6
Pennsylvania,2019,Aug,6539968,6245184,294784,4.5
Pennsylvania,2019,Sep,6522663,6266705,255958,3.9
Pennsylvania,2019,Oct,6570222,6284395,285827,4.4
Rhode Island,2016,Jan,550565,515793,34772,6.3
Rhode Island,2016,Feb,550917,517197,33720,6.1
Rhode Island,2016,Mar,550388,518474,31914,5.8
Rhode Island,2016,Apr,548978,521294,27684,5
Rhode Island,2016,May,549454,521752,27702,5
Rhode Island,2016,Jun,556949,528872,28077,5
Rhode Island,2016,Jul,561123,530170,30953,5.5
Rhode Island,2016,Aug,558463,528900,29563,5.3
Rhode Island,2016,Sep,553810,527248,26562,4.8
Rhode Island,2016,Oct,553240,528361,24879,4.5
Rhode Island,2016,Nov,554961,529792,25169,4.5
Rhode Island,2016,Dec,552169,528574,23595,4.3
Rhode Island,2017,Jan,549957,519941,30016,5.5
Rhode Island,2017,Feb,549899,521515,28384,5.2
Rhode Island,2017,Mar,548707,522286,26421,4.8
Rhode Island,2017,Apr,547768,525700,22068,4
Rhode Island,2017,May,548755,526839,21916,4
Rhode Island,2017,Jun,556983,533959,23024,4.1
Rhode Island,2017,Jul,561146,535006,26140,4.7
Rhode Island,2017,Aug,558850,534153,24697,4.4
Rhode Island,2017,Sep,554597,532235,22362,4
Rhode Island,2017,Oct,554238,532360,21878,3.9
Rhode Island,2017,Nov,557851,534073,23778,4.3
Rhode Island,2017,Dec,555493,532953,22540,4.1
Rhode Island,2018,Jan,551949,522841,29108,5.3
Rhode Island,2018,Feb,553441,525576,27865,5
Rhode Island,2018,Mar,551741,526276,25465,4.6
Rhode Island,2018,Apr,550675,529665,21010,3.8
Rhode Island,2018,May,551828,531749,20079,3.6
Rhode Island,2018,Jun,558856,538297,20559,3.7
Rhode Island,2018,Jul,562798,539335,23463,4.2
Rhode Island,2018,Aug,560074,537661,22413,4
Rhode Island,2018,Sep,556243,536316,19927,3.6
Rhode Island,2018,Oct,556208,537026,19182,3.4
Rhode Island,2018,Nov,558933,537366,21567,3.9
Rhode Island,2018,Dec,556929,535941,20988,3.8
Rhode Island,2019,Jan,551697,524860,26837,4.9
Rhode Island,2019,Feb,549106,525343,23763,4.3
Rhode Island,2019,Mar,545702,525316,20386,3.7
Rhode Island,2019,Apr,545023,528651,16372,3
Rhode Island,2019,May,547439,529360,18079,3.3
Rhode Island,2019,Jun,557106,538795,18311,3.3
Rhode Island,2019,Jul,564696,543632,21064,3.7
Rhode Island,2019,Aug,562876,541165,21711,3.9
Rhode Island,2019,Sep,555580,537340,18240,3.3
Rhode Island,2019,Oct,558149,541944,16205,2.9
South Carolina,2016,Jan,2263669,2132841,130828,5.8
South Carolina,2016,Feb,2271062,2147639,123423,5.4
South Carolina,2016,Mar,2284064,2164904,119160,5.2
South Carolina,2016,Apr,2283862,2178788,105074,4.6
South Carolina,2016,May,2293846,2188099,105747,4.6
South Carolina,2016,Jun,2321845,2196418,125427,5.4
South Carolina,2016,Jul,2321427,2198405,123022,5.3
South Carolina,2016,Aug,2306319,2184568,121751,5.3
South Carolina,2016,Sep,2294577,2182805,111772,4.9
South Carolina,2016,Oct,2289724,2180688,109036,4.8
South Carolina,2016,Nov,2278154,2177729,100425,4.4
South Carolina,2016,Dec,2278197,2174128,104069,4.6
South Carolina,2017,Jan,2282718,2166929,115789,5.1
South Carolina,2017,Feb,2288043,2181482,106561,4.7
South Carolina,2017,Mar,2294186,2200385,93801,4.1
South Carolina,2017,Apr,2295433,2213573,81860,3.6
South Carolina,2017,May,2307206,2219324,87882,3.8
South Carolina,2017,Jun,2335121,2231711,103410,4.4
South Carolina,2017,Jul,2338427,2230809,107618,4.6
South Carolina,2017,Aug,2322958,2211707,111251,4.8
South Carolina,2017,Sep,2310663,2215021,95642,4.1
South Carolina,2017,Oct,2307359,2212016,95343,4.1
South Carolina,2017,Nov,2296376,2205633,90743,4
South Carolina,2017,Dec,2293769,2200263,93506,4.1
South Carolina,2018,Jan,2301213,2199604,101609,4.4
South Carolina,2018,Feb,2312220,2220310,91910,4
South Carolina,2018,Mar,2312170,2232515,79655,3.4
South Carolina,2018,Apr,2305243,2242968,62275,2.7
South Carolina,2018,May,2320482,2254775,65707,2.8
South Carolina,2018,Jun,2354320,2266726,87594,3.7
South Carolina,2018,Jul,2353384,2268794,84590,3.6
South Carolina,2018,Aug,2329822,2244437,85385,3.7
South Carolina,2018,Sep,2316250,2241226,75024,3.2
South Carolina,2018,Oct,2330794,2255421,75373,3.2
South Carolina,2018,Nov,2318289,2249850,68439,3
South Carolina,2018,Dec,2324318,2247240,77078,3.3
South Carolina,2019,Jan,2329764,2245388,84376,3.6
South Carolina,2019,Feb,2349066,2272304,76762,3.3
South Carolina,2019,Mar,2367678,2288668,79010,3.3
South Carolina,2019,Apr,2372742,2302525,70217,3
South Carolina,2019,May,2388261,2308617,79644,3.3
South Carolina,2019,Jun,2411214,2324679,86535,3.6
South Carolina,2019,Jul,2413600,2335669,77931,3.2
South Carolina,2019,Aug,2393115,2322886,70229,2.9
South Carolina,2019,Sep,2362736,2320277,42459,1.8
South Carolina,2019,Oct,2380158,2329972,50186,2.1
South Dakota,2016,Jan,444924,429987,14937,3.4
South Dakota,2016,Feb,447505,432156,15349,3.4
South Dakota,2016,Mar,449438,434974,14464,3.2
South Dakota,2016,Apr,450043,437109,12934,2.9
South Dakota,2016,May,452041,439749,12292,2.7
South Dakota,2016,Jun,460059,446553,13506,2.9
South Dakota,2016,Jul,461277,448651,12626,2.7
South Dakota,2016,Aug,457342,443850,13492,3
South Dakota,2016,Sep,451352,439225,12127,2.7
South Dakota,2016,Oct,454077,442017,12060,2.7
South Dakota,2016,Nov,453854,440722,13132,2.9
South Dakota,2016,Dec,451376,436518,14858,3.3
South Dakota,2017,Jan,448308,431854,16454,3.7
South Dakota,2017,Feb,450518,433836,16682,3.7
South Dakota,2017,Mar,452905,437074,15831,3.5
South Dakota,2017,Apr,454088,439836,14252,3.1
South Dakota,2017,May,455927,442276,13651,3
South Dakota,2017,Jun,463304,448825,14479,3.1
South Dakota,2017,Jul,463299,449546,13753,3
South Dakota,2017,Aug,460061,445427,14634,3.2
South Dakota,2017,Sep,454814,441756,13058,2.9
South Dakota,2017,Oct,457831,445016,12815,2.8
South Dakota,2017,Nov,457149,443164,13985,3.1
South Dakota,2017,Dec,455030,440037,14993,3.3
South Dakota,2018,Jan,451917,435644,16273,3.6
South Dakota,2018,Feb,454597,438139,16458,3.6
South Dakota,2018,Mar,456469,440660,15809,3.5
South Dakota,2018,Apr,455905,441084,14821,3.3
South Dakota,2018,May,458579,445744,12835,2.8
South Dakota,2018,Jun,466018,452417,13601,2.9
South Dakota,2018,Jul,466675,453998,12677,2.7
South Dakota,2018,Aug,462612,449405,13207,2.9
South Dakota,2018,Sep,457620,445644,11976,2.6
South Dakota,2018,Oct,461575,449510,12065,2.6
South Dakota,2018,Nov,461667,448918,12749,2.8
South Dakota,2018,Dec,459874,446025,13849,3
South Dakota,2019,Jan,459214,444197,15017,3.3
South Dakota,2019,Feb,461790,446645,15145,3.3
South Dakota,2019,Mar,463142,448619,14523,3.1
South Dakota,2019,Apr,462538,449100,13438,2.9
South Dakota,2019,May,464976,451960,13016,2.8
South Dakota,2019,Jun,474845,461056,13789,2.9
South Dakota,2019,Jul,475997,463166,12831,2.7
South Dakota,2019,Aug,471393,457489,13904,2.9
South Dakota,2019,Sep,467128,454334,12794,2.7
South Dakota,2019,Oct,470707,457320,13387,2.8
Tennessee,2016,Jan,3070213,2916143,154070,5
Tennessee,2016,Feb,3091937,2946754,145183,4.7
Tennessee,2016,Mar,3107243,2962381,144862,4.7
Tennessee,2016,Apr,3105212,2974163,131049,4.2
Tennessee,2016,May,3115080,2986272,128808,4.1
Tennessee,2016,Jun,3160044,2995723,164321,5.2
Tennessee,2016,Jul,3163976,3001099,162877,5.1
Tennessee,2016,Aug,3136910,2981495,155415,5
Tennessee,2016,Sep,3149010,2993825,155185,4.9
Tennessee,2016,Oct,3157555,3009384,148171,4.7
Tennessee,2016,Nov,3149615,3010463,139152,4.4
Tennessee,2016,Dec,3139789,3001619,138170,4.4
Tennessee,2017,Jan,3145033,2987838,157195,5
Tennessee,2017,Feb,3161986,3020047,141939,4.5
Tennessee,2017,Mar,3174393,3045429,128964,4.1
Tennessee,2017,Apr,3173383,3067480,105903,3.3
Tennessee,2017,May,3172867,3069659,103208,3.3
Tennessee,2017,Jun,3213344,3082899,130445,4.1
Tennessee,2017,Jul,3221926,3094896,127030,3.9
Tennessee,2017,Aug,3193861,3075549,118312,3.7
Tennessee,2017,Sep,3213710,3105538,108172,3.4
Tennessee,2017,Oct,3205521,3099406,106115,3.3
Tennessee,2017,Nov,3204896,3098482,106414,3.3
Tennessee,2017,Dec,3201080,3095818,105262,3.3
Tennessee,2018,Jan,3199020,3072262,126758,4
Tennessee,2018,Feb,3232664,3111237,121427,3.8
Tennessee,2018,Mar,3236419,3120875,115544,3.6
Tennessee,2018,Apr,3234211,3134384,99827,3.1
Tennessee,2018,May,3242736,3142066,100670,3.1
Tennessee,2018,Jun,3283298,3147424,135874,4.1
Tennessee,2018,Jul,3282461,3153273,129188,3.9
Tennessee,2018,Aug,3228446,3109731,118715,3.7
Tennessee,2018,Sep,3238611,3130136,108475,3.3
Tennessee,2018,Oct,3259609,3152814,106795,3.3
Tennessee,2018,Nov,3255813,3157609,98204,3
Tennessee,2018,Dec,3245759,3148104,97655,3
Tennessee,2019,Jan,3266337,3146450,119887,3.7
Tennessee,2019,Feb,3299396,3195236,104160,3.2
Tennessee,2019,Mar,3330614,3220219,110395,3.3
Tennessee,2019,Apr,3336587,3245179,91408,2.7
Tennessee,2019,May,3362925,3260728,102197,3
Tennessee,2019,Jun,3391538,3255545,135993,4
Tennessee,2019,Jul,3403370,3258075,145295,4.3
Tennessee,2019,Aug,3351613,3238650,112963,3.4
Tennessee,2019,Sep,3348862,3244200,104662,3.1
Tennessee,2019,Oct,3354882,3249099,105783,3.2
Texas,2016,Jan,13174872,12589030,585842,4.4
Texas,2016,Feb,13268914,12690637,578277,4.4
Texas,2016,Mar,13309775,12713582,596193,4.5
Texas,2016,Apr,13303438,12739042,564396,4.2
Texas,2016,May,13303271,12735072,568199,4.3
Texas,2016,Jun,13360620,12699793,660827,4.9
Texas,2016,Jul,13400459,12722088,678371,5.1
Texas,2016,Aug,13365223,12700125,665098,5
Texas,2016,Sep,13415467,12753392,662075,4.9
Texas,2016,Oct,13400295,12778902,621393,4.6
Texas,2016,Nov,13438516,12835163,603353,4.5
Texas,2016,Dec,13426884,12816816,610068,4.5
Texas,2017,Jan,13457764,12787348,670416,5
Texas,2017,Feb,13539844,12884992,654852,4.8
Texas,2017,Mar,13561091,12944603,616488,4.5
Texas,2017,Apr,13569065,13006710,562355,4.1
Texas,2017,May,13538934,12975363,563571,4.2
Texas,2017,Jun,13579362,12969342,610020,4.5
Texas,2017,Jul,13615140,13005338,609802,4.5
Texas,2017,Aug,13577833,12968015,609818,4.5
Texas,2017,Sep,13665877,13103482,562395,4.1
Texas,2017,Oct,13605221,13090880,514341,3.8
Texas,2017,Nov,13684985,13149693,535292,3.9
Texas,2017,Dec,13675379,13148165,527214,3.9
Texas,2018,Jan,13689852,13107157,582695,4.3
Texas,2018,Feb,13828682,13255270,573412,4.1
Texas,2018,Mar,13818674,13262592,556082,4
Texas,2018,Apr,13817292,13309876,507416,3.7
Texas,2018,May,13810959,13312236,498723,3.6
Texas,2018,Jun,13866660,13281765,584895,4.2
Texas,2018,Jul,13887986,13320601,567385,4.1
Texas,2018,Aug,13768541,13222420,546121,4
Texas,2018,Sep,13849870,13337031,512839,3.7
Texas,2018,Oct,13901088,13411884,489204,3.5
Texas,2018,Nov,13961940,13475980,485960,3.5
Texas,2018,Dec,13975415,13473628,501787,3.6
Texas,2019,Jan,13986073,13396223,589850,4.2
Texas,2019,Feb,14086922,13537993,548929,3.9
Texas,2019,Mar,14058831,13564159,494672,3.5
Texas,2019,Apr,14000887,13585274,415613,3
Texas,2019,May,13966995,13558482,408513,2.9
Texas,2019,Jun,14041604,13540702,500902,3.6
Texas,2019,Jul,14063720,13539870,523850,3.7
Texas,2019,Aug,14015597,13508829,506768,3.6
Texas,2019,Sep,14113138,13641611,471527,3.3
Texas,2019,Oct,14190783,13723103,467680,3.3
Utah,2016,Jan,1476473,1420376,56097,3.8
Utah,2016,Feb,1484751,1426034,58717,4
Utah,2016,Mar,1489181,1432354,56827,3.8
Utah,2016,Apr,1489348,1437436,51912,3.5
Utah,2016,May,1498032,1447819,50213,3.4
Utah,2016,Jun,1512748,1455084,57664,3.8
Utah,2016,Jul,1518629,1465712,52917,3.5
Utah,2016,Aug,1517585,1465012,52573,3.5
Utah,2016,Sep,1517225,1469470,47755,3.1
Utah,2016,Oct,1522765,1475539,47226,3.1
Utah,2016,Nov,1524750,1480546,44204,2.9
Utah,2016,Dec,1523379,1477407,45972,3
Utah,2017,Jan,1527069,1473023,54046,3.5
Utah,2017,Feb,1533242,1477278,55964,3.7
Utah,2017,Mar,1537404,1483601,53803,3.5
Utah,2017,Apr,1536417,1487012,49405,3.2
Utah,2017,May,1542569,1493207,49362,3.2
Utah,2017,Jun,1555386,1498531,56855,3.7
Utah,2017,Jul,1558868,1506176,52692,3.4
Utah,2017,Aug,1555582,1502447,53135,3.4
Utah,2017,Sep,1555253,1508463,46790,3
Utah,2017,Oct,1557314,1511840,45474,2.9
Utah,2017,Nov,1561708,1517791,43917,2.8
Utah,2017,Dec,1558339,1514378,43961,2.8
Utah,2018,Jan,1555290,1504258,51032,3.3
Utah,2018,Feb,1563401,1510468,52933,3.4
Utah,2018,Mar,1562912,1511642,51270,3.3
Utah,2018,Apr,1560360,1513162,47198,3
Utah,2018,May,1567748,1521885,45863,2.9
Utah,2018,Jun,1578158,1523360,54798,3.5
Utah,2018,Jul,1577161,1526365,50796,3.2
Utah,2018,Aug,1573609,1521268,52341,3.3
Utah,2018,Sep,1575536,1529497,46039,2.9
Utah,2018,Oct,1581739,1536204,45535,2.9
Utah,2018,Nov,1584804,1540781,44023,2.8
Utah,2018,Dec,1584918,1539009,45909,2.9
Utah,2019,Jan,1573827,1524077,49750,3.2
Utah,2019,Feb,1584005,1535322,48683,3.1
Utah,2019,Mar,1585433,1537805,47628,3
Utah,2019,Apr,1582128,1539800,42328,2.7
Utah,2019,May,1588793,1545230,43563,2.7
Utah,2019,Jun,1606335,1554350,51985,3.2
Utah,2019,Jul,1621111,1572185,48926,3
Utah,2019,Aug,1615662,1570188,45474,2.8
Utah,2019,Sep,1612660,1579907,32753,2
Utah,2019,Oct,1620475,1590518,29957,1.8
Vermont,2016,Jan,342293,328767,13526,4
Vermont,2016,Feb,343534,330610,12924,3.8
Vermont,2016,Mar,344198,331388,12810,3.7
Vermont,2016,Apr,341088,329110,11978,3.5
Vermont,2016,May,342940,332322,10618,3.1
Vermont,2016,Jun,348952,337349,11603,3.3
Vermont,2016,Jul,350081,338820,11261,3.2
Vermont,2016,Aug,348219,337532,10687,3.1
Vermont,2016,Sep,343728,333237,10491,3.1
Vermont,2016,Oct,344384,336026,8358,2.4
Vermont,2016,Nov,344452,334370,10082,2.9
Vermont,2016,Dec,343835,334218,9617,2.8
Vermont,2017,Jan,344366,331540,12826,3.7
Vermont,2017,Feb,344424,332133,12291,3.6
Vermont,2017,Mar,345194,333065,12129,3.5
Vermont,2017,Apr,342170,330981,11189,3.3
Vermont,2017,May,343623,333883,9740,2.8
Vermont,2017,Jun,350486,339892,10594,3
Vermont,2017,Jul,351196,340879,10317,2.9
Vermont,2017,Aug,349840,339982,9858,2.8
Vermont,2017,Sep,345346,335761,9585,2.8
Vermont,2017,Oct,345696,338299,7397,2.1
Vermont,2017,Nov,345903,336853,9050,2.6
Vermont,2017,Dec,345379,336993,8386,2.4
Vermont,2018,Jan,345134,333647,11487,3.3
Vermont,2018,Feb,346363,335444,10919,3.2
Vermont,2018,Mar,346762,335929,10833,3.1
Vermont,2018,Apr,342835,332788,10047,2.9
Vermont,2018,May,344092,335426,8666,2.5
Vermont,2018,Jun,349977,340343,9634,2.8
Vermont,2018,Jul,351583,342303,9280,2.6
Vermont,2018,Aug,349489,340710,8779,2.5
Vermont,2018,Sep,343991,335424,8567,2.5
Vermont,2018,Oct,344338,337919,6419,1.9
Vermont,2018,Nov,344435,336217,8218,2.4
Vermont,2018,Dec,343727,335906,7821,2.3
Vermont,2019,Jan,344706,334896,9810,2.8
Vermont,2019,Feb,345774,337106,8668,2.5
Vermont,2019,Mar,345261,337164,8097,2.3
Vermont,2019,Apr,344489,336961,7528,2.2
Vermont,2019,May,346958,340394,6564,1.9
Vermont,2019,Jun,353249,345331,7918,2.2
Vermont,2019,Jul,351492,343804,7688,2.2
Vermont,2019,Aug,346731,339140,7591,2.2
Vermont,2019,Sep,339404,331872,7532,2.2
Vermont,2019,Oct,339228,333794,5434,1.6
Virginia,2016,Jan,4183385,4004564,178821,4.3
Virginia,2016,Feb,4208918,4031663,177255,4.2
Virginia,2016,Mar,4236893,4061884,175009,4.1
Virginia,2016,Apr,4228918,4072015,156903,3.7
Virginia,2016,May,4243246,4079990,163256,3.8
Virginia,2016,Jun,4270405,4087637,182768,4.3
Virginia,2016,Jul,4296728,4112261,184467,4.3
Virginia,2016,Aug,4257895,4070707,187188,4.4
Virginia,2016,Sep,4248466,4069103,179363,4.2
Virginia,2016,Oct,4257186,4084417,172769,4.1
Virginia,2016,Nov,4244521,4080603,163918,3.9
Virginia,2016,Dec,4235526,4073755,161771,3.8
Virginia,2017,Jan,4250969,4065450,185519,4.4
Virginia,2017,Feb,4277497,4099285,178212,4.2
Virginia,2017,Mar,4310185,4141034,169151,3.9
Virginia,2017,Apr,4314025,4164441,149584,3.5
Virginia,2017,May,4321002,4163564,157438,3.6
Virginia,2017,Jun,4345789,4179138,166651,3.8
Virginia,2017,Jul,4366707,4198900,167807,3.8
Virginia,2017,Aug,4317243,4148332,168911,3.9
Virginia,2017,Sep,4328730,4176769,151961,3.5
Virginia,2017,Oct,4306838,4164728,142110,3.3
Virginia,2017,Nov,4295419,4154325,141094,3.3
Virginia,2017,Dec,4280657,4145619,135038,3.2
Virginia,2018,Jan,4279860,4127557,152303,3.6
Virginia,2018,Feb,4322765,4175697,147068,3.4
Virginia,2018,Mar,4336468,4198064,138404,3.2
Virginia,2018,Apr,4331542,4212725,118817,2.7
Virginia,2018,May,4346095,4224455,121640,2.8
Virginia,2018,Jun,4372040,4230750,141290,3.2
Virginia,2018,Jul,4389731,4254838,134893,3.1
Virginia,2018,Aug,4316700,4183057,133643,3.1
Virginia,2018,Sep,4315374,4197256,118118,2.7
Virginia,2018,Oct,4332241,4216960,115281,2.7
Virginia,2018,Nov,4319915,4211391,108524,2.5
Virginia,2018,Dec,4313833,4200865,112968,2.6
Virginia,2019,Jan,4324402,4184632,139770,3.2
Virginia,2019,Feb,4366696,4227372,139324,3.2
Virginia,2019,Mar,4373809,4240825,132984,3
Virginia,2019,Apr,4363922,4254812,109110,2.5
Virginia,2019,May,4400071,4274347,125724,2.9
Virginia,2019,Jun,4442939,4313122,129817,2.9
Virginia,2019,Jul,4483590,4354768,128822,2.9
Virginia,2019,Aug,4432630,4310734,121896,2.7
