Geo_Name,state_code,survey_year,Tax_Type,state_rev,fed_rev,diff,ratio,est_pop,percap_r_gdp,state_gdp
Nebraska,28,2016,Total Taxes,"5,117,133",25179000,20061867,0.796769808,1905616,58141,110812
Nevada,29,2016,Total Taxes,"8,026,362",19911000,11884638,0.596888052,2917563,47708,139295.5
New Hampshire,30,2016,Total Taxes,"2,620,443",11478000,8857557,0.771698641,1342307,54244,72815.6
New Jersey,31,2016,Total Taxes,"31,546,720",143012000,111465280,0.779412077,8870827,60842,539942.8
New Mexico,32,2016,Total Taxes,"5,178,859",8739000,3560141,0.407385399,2091630,43611,91268.3
New York,33,2016,Total Taxes,"81,380,073",265990000,184609927,0.694048374,19633428,70752,1389680.6
North Carolina,34,2016,Total Taxes,"26,218,693",83714000,57495307,0.686806353,10154788,46801,475339
North Dakota,35,2016,Total Taxes,"3,709,105",6926000,3216895,0.464466503,754434,67656,51036.3
Ohio,36,2016,Total Taxes,"28,694,883",141114000,112419117,0.796654598,11634370,50287,585088.9
Oklahoma,37,2016,Total Taxes,"8,761,599",27953000,19191401,0.686559618,3926331,48414,190109.7
Oregon,38,2016,Total Taxes,"10,888,032",31955000,21066968,0.659269848,4089976,49115,200948.2
Pennsylvania,39,2016,Total Taxes,"37,394,589",135924000,98529411,0.724886047,12782275,53963,689844.4
Rhode Island,40,2016,Total Taxes,"3,245,562",14607000,11361438,0.777807763,1056770,50225,53090.7
South Carolina,41,2016,Total Taxes,"9,457,330",25487000,16029670,0.628935143,4957968,39421,195459.6
South Dakota,42,2016,Total Taxes,"1,840,434",7780000,5939566,0.76344036,862996,52945,45685.5
Tennessee,43,2016,Total Taxes,"13,386,169",65003000,51616831,0.794068443,6646010,46355,308031.6
Texas,44,2016,Total Taxes,"52,132,817",261129000,208996183,0.800356081,27914410,57280,1600260.2
Utah,45,2016,Total Taxes,"7,082,961",21130000,14047039,0.664791245,3041868,48450,147414
Vermont,46,2016,Total Taxes,"3,117,428",4461000,1343572,0.301181798,623657,47083,29362.9
Virginia,47,2016,Total Taxes,"21,213,280",83617000,62403720,0.74630422,8410106,54295,456676.4
Washington,48,2016,Total Taxes,"22,280,088",77083000,54802912,0.710959771,7294771,63026,459754.3
West Virginia,49,2016,Total Taxes,"5,212,967",6915000,1702033,0.24613637,1831023,37632,68901.2
Wisconsin,50,2016,Total Taxes,"17,649,467",52468000,34818533,0.663614641,5772628,50364,290750.2
Wyoming,51,2016,Total Taxes,"1,913,607",4476000,2562393,0.572473861,584215,65127,38052.9
